state,product_,date,created_by,leads,prelim_quotes,final_qotes,purchases,cr
az,ho3,9/13/2018,Online,12,9,4,1,0.083333333
az,ho6,9/13/2018,Online,2,2,0,0,0
az,ho3,9/14/2018,Online,11,8,2,0,0
az,ho6,9/14/2018,Online,4,1,0,0,0
az,ho3,9/15/2018,Online,13,4,0,0,0
az,ho3,9/16/2018,Agent,2,2,2,2,1
az,ho3,9/16/2018,Online,4,2,0,0,0
az,ho6,9/16/2018,Online,1,1,0,0,0
az,ho3,9/17/2018,Agent,2,1,0,0,0
az,ho3,9/17/2018,Online,11,4,3,0,0
az,ho6,9/17/2018,Online,2,1,1,0,0
az,ho3,9/18/2018,Agent,1,1,1,0,0
az,ho3,9/18/2018,Online,17,9,3,0,0
az,ho6,9/18/2018,Online,2,2,0,0,0
az,ho3,9/19/2018,Online,8,2,1,0,0
az,ho6,9/19/2018,Online,4,3,1,0,0
az,ho3,9/20/2018,Agent,1,1,1,0,0
az,ho3,9/20/2018,Online,19,10,5,1,0.052631579
az,ho6,9/20/2018,Online,1,1,0,0,0
az,ho3,9/21/2018,Online,9,3,1,0,0
az,ho6,9/21/2018,Online,3,1,0,0,0
az,ho3,9/22/2018,Online,12,8,2,0,0
az,ho3,9/23/2018,Online,3,2,0,0,0
az,ho3,9/24/2018,Agent,1,1,1,1,1
az,ho3,9/24/2018,Online,11,4,3,1,0.090909091
az,ho3,9/25/2018,Agent,1,1,1,1,1
az,ho3,9/25/2018,Online,17,5,1,0,0
az,ho6,9/25/2018,Online,2,1,0,0,0
az,ho3,9/26/2018,Agent,1,1,1,1,1
az,ho3,9/26/2018,Online,19,14,6,2,0.105263158
az,ho6,9/26/2018,Online,4,2,2,0,0
az,ho3,9/27/2018,Agent,1,1,1,0,0
az,ho3,9/27/2018,Online,23,16,9,2,0.086956522
az,ho6,9/27/2018,Agent,1,1,0,1,1
az,ho6,9/27/2018,Online,2,1,1,0,0
az,ho3,9/28/2018,Agent,1,1,0,1,1
az,ho3,9/28/2018,Online,16,10,2,0,0
az,ho6,9/28/2018,Online,2,2,0,0,0
az,ho3,9/29/2018,Agent,1,1,0,0,0
az,ho3,9/29/2018,Online,10,6,4,2,0.2
az,ho6,9/29/2018,Online,1,0,0,0,0
az,ho3,9/30/2018,Online,13,5,0,0,0
az,ho6,9/30/2018,Online,3,2,0,0,0
ca,ho3,7/1/2018,Agent,37,37,32,3,0.081081081
ca,ho3,7/1/2018,Online,141,77,20,11,0.078014184
ca,ho6,7/1/2018,Agent,8,7,6,1,0.125
ca,ho6,7/1/2018,Online,23,17,4,4,0.173913043
ca,ho3,7/2/2018,Agent,65,61,51,9,0.138461538
ca,ho3,7/2/2018,Online,181,109,43,10,0.055248619
ca,ho6,7/2/2018,Agent,10,10,8,2,0.2
ca,ho6,7/2/2018,Online,33,15,5,3,0.090909091
ca,ho3,7/3/2018,Agent,62,58,50,14,0.225806452
ca,ho3,7/3/2018,Online,192,126,32,19,0.098958333
ca,ho6,7/3/2018,Agent,14,14,12,2,0.142857143
ca,ho6,7/3/2018,Online,27,21,8,3,0.111111111
ca,ho3,7/4/2018,Agent,36,36,34,3,0.083333333
ca,ho3,7/4/2018,Online,132,80,25,11,0.083333333
ca,ho6,7/4/2018,Agent,3,3,3,0,0
ca,ho6,7/4/2018,Online,27,13,1,0,0
ca,ho3,7/5/2018,Agent,60,57,47,13,0.216666667
ca,ho3,7/5/2018,Online,130,81,20,11,0.084615385
ca,ho6,7/5/2018,Agent,4,4,4,1,0.25
ca,ho6,7/5/2018,Online,24,15,3,3,0.125
ca,ho3,7/6/2018,Agent,48,46,37,9,0.1875
ca,ho3,7/6/2018,Online,148,99,43,16,0.108108108
ca,ho6,7/6/2018,Agent,13,13,13,0,0
ca,ho6,7/6/2018,Online,35,22,8,5,0.142857143
ca,ho3,7/7/2018,Agent,40,36,31,4,0.1
ca,ho3,7/7/2018,Online,100,67,17,9,0.09
ca,ho6,7/7/2018,Agent,6,6,4,2,0.333333333
ca,ho6,7/7/2018,Online,15,12,6,4,0.266666667
ca,ho3,7/8/2018,Agent,38,38,31,5,0.131578947
ca,ho3,7/8/2018,Online,115,65,16,3,0.026086957
ca,ho6,7/8/2018,Agent,4,4,4,0,0
ca,ho6,7/8/2018,Online,13,4,0,0,0
ca,ho3,7/9/2018,Agent,54,54,43,10,0.185185185
ca,ho3,7/9/2018,Online,154,100,35,13,0.084415584
ca,ho6,7/9/2018,Agent,11,11,11,0,0
ca,ho6,7/9/2018,Online,28,22,7,3,0.107142857
ca,ho3,7/10/2018,Agent,90,87,72,15,0.166666667
ca,ho3,7/10/2018,Online,208,119,40,15,0.072115385
ca,ho6,7/10/2018,Agent,14,14,11,4,0.285714286
ca,ho6,7/10/2018,Online,36,22,4,1,0.027777778
ca,ho3,7/11/2018,Agent,86,84,68,17,0.197674419
ca,ho3,7/11/2018,Online,195,113,37,11,0.056410256
ca,ho6,7/11/2018,Agent,9,8,6,2,0.222222222
ca,ho6,7/11/2018,Online,34,24,9,2,0.058823529
ca,ho3,7/12/2018,Agent,72,70,61,12,0.166666667
ca,ho3,7/12/2018,Online,207,142,59,18,0.086956522
ca,ho6,7/12/2018,Agent,19,19,19,2,0.105263158
ca,ho6,7/12/2018,Online,37,26,10,2,0.054054054
ca,ho3,7/13/2018,Agent,76,71,64,15,0.197368421
ca,ho3,7/13/2018,Online,206,137,51,17,0.082524272
ca,ho6,7/13/2018,Agent,11,11,10,2,0.181818182
ca,ho6,7/13/2018,Online,41,22,6,3,0.073170732
ca,ho3,7/14/2018,Agent,40,39,34,5,0.125
ca,ho3,7/14/2018,Online,152,89,17,7,0.046052632
ca,ho6,7/14/2018,Agent,4,4,4,1,0.25
ca,ho6,7/14/2018,Online,21,9,2,1,0.047619048
ca,ho3,7/15/2018,Agent,40,40,32,7,0.175
ca,ho3,7/15/2018,Online,121,64,15,5,0.041322314
ca,ho6,7/15/2018,Agent,3,3,2,0,0
ca,ho6,7/15/2018,Online,15,13,5,2,0.133333333
ca,ho3,7/16/2018,Agent,59,54,44,15,0.254237288
ca,ho3,7/16/2018,Online,188,121,36,16,0.085106383
ca,ho6,7/16/2018,Agent,13,13,13,3,0.230769231
ca,ho6,7/16/2018,Online,32,17,7,4,0.125
ca,ho3,7/17/2018,Agent,83,78,61,16,0.192771084
ca,ho3,7/17/2018,Online,250,173,44,22,0.088
ca,ho6,7/17/2018,Agent,11,11,10,2,0.181818182
ca,ho6,7/17/2018,Online,41,22,9,5,0.12195122
ca,ho3,7/18/2018,Agent,76,68,59,12,0.157894737
ca,ho3,7/18/2018,Online,230,160,57,14,0.060869565
ca,ho6,7/18/2018,Agent,12,12,12,2,0.166666667
ca,ho6,7/18/2018,Online,45,30,9,2,0.044444444
ca,ho3,7/19/2018,Agent,92,88,73,11,0.119565217
ca,ho3,7/19/2018,Online,232,155,57,22,0.094827586
ca,ho6,7/19/2018,Agent,7,7,7,1,0.142857143
ca,ho6,7/19/2018,Online,31,21,14,6,0.193548387
ca,ho3,7/20/2018,Agent,66,62,55,10,0.151515152
ca,ho3,7/20/2018,Online,186,128,41,13,0.069892473
ca,ho6,7/20/2018,Agent,9,9,8,3,0.333333333
ca,ho6,7/20/2018,Online,29,20,8,2,0.068965517
ca,ho3,7/21/2018,Agent,39,36,33,2,0.051282051
ca,ho3,7/21/2018,Online,162,101,28,11,0.067901235
